"Fri: Jan 30","The Hideout X Somethin' Light w/ Swave, Sebs, Jezu","house, tech house","Utopia (Los Angeles)","11pm-6am","free w/rsvp b4 1 / $12-34","21+","","https://posh.vip/e/utopia-fridays-2026-1-31-13-0","","46052.9583333333"
"Fri: Jan 30","LA Afterdark","hip-hop, top 40, EDM, reggaeton","Los Globos (Los Angeles)","11:30pm-3am","free","18+","","https://www.eventbrite.com/e/la-afterdark-los-globos-18-everyone-free-b4-12-am-pm-wrsvp-tickets-1980836090068","","46052.9791666667"
"Sat: Jan 31","Lonefront","techno, electro","Museum Of Contemporary Art (San Diego)","4pm-8pm","free","18+","Particle Fm","https://ra.co/events/2343279","https://www.lonefront.com","46053.6666666667"
"Sat: Jan 31","Pablo Fierro, Simone Glad","house, tech house","Quartyard (San Diego)","4pm-9pm","$28 b4 6 / $39-50","21+","Wonder Gate Llc","https://ra.co/events/2325941","https://www.instagram.com/p/DSTOiRqElH1/?img_index=1","46053.6666666667"
"Sat: Jan 31","No Squares","house","TBA (Los Angeles)","6pm-2am","free","21+","","https://ra.co/events/2349729","","46053.75"
"Sat: Jan 31","The Album Leaf","ambient, downtempo, electronica","Zebulon (Los Angeles)","7pm","$36","21+","KCRW","https://dice.fm/event/l8oqow-the-album-leaf-shannon-lay-31st-jan-zebulon-los-angeles-tickets","","46053.7916666667"
"Sat: Jan 31","Ron Trent, Rochelle Jordan, Dam-Funk","deep house","6th St Bridge (Los Angeles)","7pm-3am","$16.25-32.50","21+","In Between","https://ra.co/events/2342131","","46053.7916666667"
"Sat: Jan 31","If You See Me You See Me. No. 12 ft Sasha Marie","hip-hop, leftfield, future beats","The Observatory North Park (San Diego)","7:30pm","$24-34","21+","","https://ticketmaster.evyy.net/c/253158/264167/4272?u=https://www.ticketmaster.com/if-you-see-me-you-see-san-diego-california-01-31-2026/event/0B00638FD3D2466A&utm_medium=affiliate","https://www.facebook.com/events/1202429552074397/","46053.8125"
"Sat: Jan 31","Ofenbach","synthpop, pop EDM","Roxy Theatre Hollywood (Los Angeles)","8pm","$35","All ages","Goldenvoice","https://www.axs.com/uk/events/1014759/ofenbach-tickets","","46053.8333333333"
"Sat: Jan 31","Wes Mills","uk garage, house","The Observatory (Santa Ana)","8pm","$24-34","21+","Insomniac","https://www.ticketmaster.com/insomniac-presents-wes-mills-18-santa-ana-california-01-31-2026/event/0900635FE23E8B64","","46053.8333333333"
