"Sat: Jan 31","Resistance - Colyn","deep house, techno","M2 (Miami)","10pm-5am","$29.95","21+","","https://dice.fm/event/oeq5wg-resistance-colyn-31st-jan-m2-miami-miami-beach-tickets","","46053.9166666667"
"Sat: Jan 31","Deep House Bible Miami","house","Club Space (Miami)","11pm-2pm","$20-50","21+","","https://dice.fm/event/2w7x3m-deep-house-bible-miami-31st-jan-club-space-miami-miami-tickets","","46053.9583333333"
"Sat: Jan 31","Midnight Service","house, disco, techno","Mad Live (Miami)","11pm-5am","$30-56","21+","","https://dice.fm/event/l8b8wb-midnight-service-31st-jan-mad-live-miami-tickets","","46053.9583333333"
"Sat: Jan 31","Z Code w/ Adam Nazar & More","","Mode (Miami)","11pm-5am","$20","21+","","https://dice.fm/event/py5k78-z-cde-w-adam-nazar-more-31st-jan-mode-miami-tickets","","46053.9583333333"
"Sat: Jan 31","Whynotus: Malone","tech house, afro house","The Ground (Miami)","11pm-7am","$15 pre","18+","","https://dice.fm/event/92wx8n-whynotus-malne-31st-jan-the-ground-miami-miami-tickets","","46053.9583333333"
"Sat: Jan 31","Bontan","tech house, deep house","Selva (Miami)","11:30pm-4am","","21+","","https://posh.vip/e/bontan-selva","","46053.9791666667"
"Sat: Jan 31","Layton Giordani","techno","Liv Nightclub (Miami)","11:30pm-5am","$50-304","21+","","https://www.universe.com/events/TX92QR","","46053.9791666667"
"Sun: Feb 1","Liza Rodriguez + Cesar Hernandez","","El Palenque (Miami)","5:30am-12pm","$38.93","","","https://dice.fm/event/py57pl-lpn-21-liza-rodriguez-tba-1st-feb-el-palenque-miami-tickets","","46054.2291666667"
"Sun: Feb 1","ATLiens","trap, bass music","Daer Dayclub (Hollywood)","12pm-6pm","$30","21+","","https://www.tixr.com/groups/daerdayclubsouthflorida/events/atliens-daer-dayclub-167453","https://www.facebook.com/events/1205653967671925/","46054.5"
"Sun: Feb 1","Chizzle","pop EDM, electro house, trap, hip-hop","E11even (Miami)","11pm","free w/rsvp b4 midnight / $23-34","21+","","https://speakeasygo.com/event/EVE-0792OI","","46054.9583333333"
"Sun: Feb 1","Lisa's Kickback: Tomi & Kesh","tech house","Floyd Miami (Miami)","11pm-5am","$14.99","21+","","https://dice.fm/event/537row-lisas-kickback-tomi-kesh-1st-feb-floyd-miami-miami-tickets","","46054.9583333333"
"Wed: Feb 4","A-Train","","E11even (Miami)","8pm","free w/rsvp locals / $12-23","21+","","https://speakeasygo.com/e11even/a-train-at-e11even","","46057.8333333333"
"Thu: Feb 5","Say Less: Franco Alexander & Friends / Underline Showcase","","Mode (Miami)","9pm-5am","Free w/RSVP b4 midnight / $20","21+","","https://dice.fm/event/537a3d-say-less-franco-alexander-friends-5th-feb-mode-miami-tickets","https://dice.fm/event/v3qgwv-underline-showcase-5th-feb-mode-miami-tickets","46058.875"
"Thu: Feb 5","Ufo95, Low Earth Orbit","techno","Domicile (Miami)","10pm-5am","$12-40","21+","","https://ra.co/events/2308409","","46058.9166666667"
